Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
EMIL,EMIL - ChatGPLove,35310,4438,619,14.32,2025-08-22,https://www.youtube.com/watch?v=NOyvQR1RsAA
Oleksii Melnyk,Not just a photo - it's a cinematic boarding frame. ChatGPT p11 #ai #prompt #chatgpt #photoideas,25655,643,25,2.6,2025-08-20,https://www.youtube.com/watch?v=uICD4A6OfVU
Greg Langstaff,Don't get caught! #resume #chatgpt #career #jobsearch #cv,12336,701,12,5.78,2025-08-20,https://www.youtube.com/watch?v=3SO0CArLzK4
The Paradigm Experience,I swear my ChatGPT is unlocked  #chatgpt #spirituality,70865,3439,72,4.95,2025-08-20,https://www.youtube.com/watch?v=vzUjycoUscw
Dhanjal Wood Works,Shocking Chat GPT Terrace makeover  #shorts #chatgpt #aivideo,22325,121,1,0.55,2025-08-20,https://www.youtube.com/watch?v=RwqiMzFaoU4
Vật Vờ Studio,"So sánh ChatGPT 5 và Gemini 2.5: Hơn 500.000đ/tháng, nên dùng bản nào?",26191,276,61,1.29,2025-08-20,https://www.youtube.com/watch?v=Flj2njZ4nsg
dr.cal.ur.science pal,Hoooooooo boy #science #biology #fyp #lab #bio #medicine #ai #chatgpt #artificialintelligence,103011,8061,217,8.04,2025-08-21,https://www.youtube.com/watch?v=cORkhu5wNSQ
SoyBoyTech,Free ChatGPT is better than Perplexity Pro #perplexityai #airtel #perplexity #chatgpt #perplexitypro,121867,2051,36,1.71,2025-08-21,https://www.youtube.com/watch?v=0ms5-Q2Fw8E
Lawyer You Know,Coming Soon! Is AI taking my job? Will ChatGPT replace Lawyers? - Full Video Drops tomorrow.,55390,1277,43,2.38,2025-08-20,https://www.youtube.com/watch?v=Ja6K_Jltmyw
The Paradigm Experience,ChatGPT caught me off guard with this one #chatgpt #spirituality,10922,572,32,5.53,2025-08-23,https://www.youtube.com/watch?v=6GLfh32dS6o
BlazeTV,DYSTOPIA: World Leader ADMITS ChatGPT is Advising Him on Key Decisions,16729,1118,236,8.09,2025-08-25,https://www.youtube.com/watch?v=V0Ot05QWKTA
WIT Crew,Chat GPT യുമായി Therapy session  | WIT Talks | Malayalam Podcast #chatgpt #therapy #ai #intimacy,19616,779,5,4.0,2025-08-23,https://www.youtube.com/watch?v=-HtWb3e-5Qc
Jono Catliff,ChatGPT Has Officially Released AI Agents,12511,377,8,3.08,2025-08-21,https://www.youtube.com/watch?v=9ONMRoZ4HoI
XNatyyX,acho q o chatgpt nn sabe fazer uma historinha- #historinhaemquadrinhos #chatgpt #roblox #dandysworld,22851,498,22,2.28,2025-08-23,https://www.youtube.com/watch?v=iDtYfIWGuY4
Chesscom Korea,"챗GPT ""너나 잘하세요""",77356,923,37,1.24,2025-08-20,https://www.youtube.com/watch?v=XM6HBzz0lak
Tahir Yıldız,Tek fotoğraf ile chatgpt prompt! #chatgpt #prompt,11531,395,5,3.47,2025-08-23,https://www.youtube.com/watch?v=6poRdRJ7oZA
India Today,Raghav Chadha Demands Free Access to AI Tools Like #chatgpt Gemini for Every Indian | India Today,10218,75,1,0.74,2025-08-21,https://www.youtube.com/watch?v=QGMzlkcjQdM
Lina Valdivia,Yo antes de chat gpt #humor,92547,4895,46,5.34,2025-08-21,https://www.youtube.com/watch?v=ZSO6YMPL1gU
The h perfect ,ChatGPT Just Roasted Me... Make it Regret This,884,0,1,0.11,2025-08-26,https://www.youtube.com/watch?v=6LkciU6cE6k
MAS TECH,what's app AI Secret tool will help you #whatsapp #whatsappai #chatgpt #tipsandtricks,25456,1610,32,6.45,2025-08-23,https://www.youtube.com/watch?v=W5Eeei20RYE
"No es Brujería, es Tecnología - brujeriatech",Así puedes ajustar la personalidad de ChatGPT para recuperar a tu amigo. #chatgpt #tutorial #tech,21542,2842,25,13.31,2025-08-22,https://www.youtube.com/watch?v=Ix894FPRQUc
