Channel,Title,Views,Likes,Comments,Engagement Rate (%),Published Date,URL
Abrazo Health,How can I prevent heart disease?,2,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=EFjG6ER3ZMk
Did You Know?,5 situations that can cause your heart to stop.,382,32,1,8.64,2025-08-25,https://www.youtube.com/watch?v=ZDANgnemPCc
NITZAMD-Dr Nitza Alvarez,Heart Health: Why Proactive Care Saved Her Life!,70,3,0,4.29,2025-08-25,https://www.youtube.com/watch?v=g84udd78BXs
Saúde 50+,CARDIOLOGISTA REVELA Como o Alho Desentope Suas Artérias - Pare O Infarto Silencioso!,57,14,2,28.07,2025-08-25,https://www.youtube.com/watch?v=Jz0UElFGcx4
AIMS Hospital Paldi ,Understanding Heart Attack Care with Dr. Nikul Panchal,113,2,0,1.77,2025-08-25,https://www.youtube.com/watch?v=5Eg-gKeizyo
Dr. Aliasgar Bahrainwala,Silent Heart Attacks in Young Adults | Warning Signs & Prevention Tips,15,4,0,26.67,2025-08-25,https://www.youtube.com/watch?v=mLrBFILwzoU
clinical guider,#हार्ट अटैक का कारण #10 सूुपर वेजिटेबल #10 सूुपर फ्रूट clinical guider,12,4,0,33.33,2025-08-25,https://www.youtube.com/watch?v=xdt3EeVcnz4
MEDWIKI,हार्ट अटैक के शुरुआती लक्षण! Early Signs of Heart Attack! #heartattack #heartattacksymptoms #viral,182,0,0,0.0,2025-08-26,https://www.youtube.com/watch?v=ZFOhnntdz40
Science-Based Health Facts,10 HABITS YOU NEED TO STOP FOR A HEALTHY HEART,5,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=chHWUsLJar8
Einstein Hospital Israelita,O diabetes e o coração: como evitar complicações cardíacas?,141,30,4,24.11,2025-08-25,https://www.youtube.com/watch?v=UJjA6YptzMo
The Medical Staff of Wayne Hospital,Is Your Heart In Rhythm?,200,2,0,1.0,2025-08-25,https://www.youtube.com/watch?v=thEc8ied07U
Cardiovascular Matters,Ep. 32 - The Truth About Weight Loss Injections and Heart Disease Prevention,1,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=lenXMJZ0NfI
Good Food Movement,How Food Affects #brain Function,1751,29,0,1.66,2025-08-25,https://www.youtube.com/watch?v=jgf7VKU76fw
Bright medico makers,"Why Heart Attacks Are Increasing Among Young People | Youth Heart Risks Explained"" 《HINDI》",18,7,7,77.78,2025-08-25,https://www.youtube.com/watch?v=5uADxr_UJOw
Poona Hospital & Research Center,Silent Signs of Heart Disease: Don't Ignore Them After 40,0,0,0,0,2025-08-25,https://www.youtube.com/watch?v=jxqmaN7Hr5I
Heart Health India Foundation,Heart & Lung Connection in Bypass Recovery | Dil Ke Doubts with Dr. Poorvi Devani,39,8,0,20.51,2025-08-25,https://www.youtube.com/watch?v=9T2aX1eJSMM
Senior Health Tips 365,"Erases 90% of Heart Disease, Cancer & Memory Loss Risk Over 60 - Just 1 Daily Habit | Senior Health",19,2,1,15.79,2025-08-25,https://www.youtube.com/watch?v=N3rh75oLkDs
Dr. P. MURUGESAN (Dr PM Times),விறைப்புத்தன்மை (Erectile Dysfunction) குறைபாடு மாரடைப்பின் அறிகுறியா?,1225,11,3,1.14,2025-08-25,https://www.youtube.com/watch?v=O-5QIv7sWCY
Mr Ravan,Heart Blockage After Angiography | Stent vs Bypass Surgery,7626,111,7,1.55,2025-08-25,https://www.youtube.com/watch?v=66zEUJSvl7Y
Physio Healer,Cardiac Rehablitation notes #physiotherapist,17,1,0,5.88,2025-08-25,https://www.youtube.com/watch?v=SeKsYSxJSBk
AyurvedicX,⚠️क्या आपको ये  heart Attack के 7 लक्षण है? #hearthealth #heartattacksymptoms #heartattack #ayurveda,381,0,0,0.0,2025-08-26,https://www.youtube.com/watch?v=dl9cPriOHM0
Secretos de longevidad,CARDIÓLOGO REVELA: El Poder del Ajo para Destapar Arterias - ¡Detén el Infarto Silencioso!,120,22,4,21.67,2025-08-25,https://www.youtube.com/watch?v=5mF3m14zTHs
Dr Umar Faruqe,"Silent Heart Attack के छुपे लक्षण | बचाव, टेस्ट और Lifestyle Tips | #हार्टअटैक #viralshorts",590,10,3,2.2,2025-08-25,https://www.youtube.com/watch?v=QuPc3-Jrbuo
Vital Men 60,How to Improve Heart and Sexual Health for Men Over 60 - Expert Tips!,5,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=ByJZDfGs5tc
SM GK STUDY ,❤️ Heart Attack na 12 Lakshan | Early Symptoms of Heart Attack in Gujarati GK #shorts #shortsfeed,65,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=ZmPneqYKaGc
Cardio Care By Dr Arup,WHY BLOOD PRESSURE FLUCTUATES?  কারণ ও সমাধান জানুন  by Dr Arup #bloodpressure,362,9,0,2.49,2025-08-25,https://www.youtube.com/watch?v=xDo-LklEvuM
Tim Ferriss,This Workout Reverses 20 Years of Heart Aging,11433,426,23,3.93,2025-08-25,https://www.youtube.com/watch?v=io8OByOpQQs
The Inconvenient Truths,Heart Blockage CLEAR sirf khaane se?!  Cleveland Clinic ka SHOCKING truth!,1,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=OaVwNHQGd5A
Doctor Why,Viagra: The Pill That Can Make a Heart Attack Treatment Deadly,9,2,0,22.22,2025-08-25,https://www.youtube.com/watch?v=FN5UPK07RAE
KRISHNA NURSING ACADEMY ,Basic Life Support (BLS) | CPR क्या है? | Cardiac Arrest से कैसे बचें | Life Saving Tips |,66,0,5,7.58,2025-08-25,https://www.youtube.com/watch?v=4OVO17T-tGQ
MasterMedFacts,Calcium-Free ≠ Risk-Free ❌:  LDL-C's Silent Strike in CAC = 0,5,1,0,20.0,2025-08-25,https://www.youtube.com/watch?v=8kc4EHKH7sY
Dr Kiat,Stop Believing These Health Lies | Dr Kiat,423,0,0,0.0,2025-08-25,https://www.youtube.com/watch?v=cj2hVtLrPig
Medicina Resumida,Dor torácica - Não erre mais no diagnóstico diferencial - Anamnese e exame físico quando não é IAM!,125,20,4,19.2,2025-08-25,https://www.youtube.com/watch?v=sdp9WgxZrFA
Doctor Warrick Bishop,Redefining Insulin and Carbs - Why We Should Shift the Focus from Sugar to Insulin,50,4,0,8.0,2025-08-25,https://www.youtube.com/watch?v=EnLb1kIWnvI
doctorsTmd,Top 10 Deadliest Blood Pressure Mistakes (Cardiologist Explains).,11,1,9,90.91,2025-08-25,https://www.youtube.com/watch?v=ek5TwPnZLXg
Seniors Today,Health Live Webinar With Dr Dhanesh Ravindra Leg Attack & Dealing with Peripheral Artery Disease,8,1,0,12.5,2025-08-25,https://www.youtube.com/watch?v=ziioAOS-K0g
